Applicant Street,Applicant Zip Code,Type of Award,Race and Ethnicity,Primary Language Spoken,Gender Identity,Do you have a mobile housing voucher?,Receive SNAP/EBT Benefits?,How many in household?,Total Monthly Income all sources,Are you currently employed?,Total Amount Awarded,Date Payment Issued,Disposition of case,"If ineligible, why?",longitude,latitude
Bakersfield Street,02125,Future Stipend; Rental Arrears,White,English,Male,No,No,2.0,2951.43,No,8792.0,,Approved,,-71.0745,42.2973
Bakersfield Street,02125,Rental Arrears; Utility Payments,White,English,Male,No,No,1.0,3067.99,No,4284.0,8/10/2022,Approved,,-71.0745,42.2973
Bakersfield Street,02125,Future Stipend; Rental Arrears,Black/African American,English,Male,No,No,1.0,1400,Yes,9735.0,,Approved,,-71.0745,42.2973
Bakersfield St,02125,Future Stipend; Moving Costs,Black/African American,English,Male,,,3.0,200,No,3750.0,10/22/2021,Approved,,-71.0745,42.2973
Balfour Street,02125,Future Stipend; Moving Costs,Black,English,Male,No,No,1.0,2000,Yes,6040.0,,Approved,,-71.0745,42.2973
Balfour Street,02125,Rental Arrears,Black/African American,English,Female,Yes,Yes,5.0,1355,No,2768.0,8/26/2022,Approved,,-71.0745,42.2973
Ballou Avenue,02124,Moving Costs,Black/African American,English,Female,,,2.0,190,,6900.0,,Approved,,-71.0717,42.2918
Ballou Ave,02124,Utility Payments,Black/African American,English,Female,Yes,No,4.0,200,No,2000.0,,Approved,,-71.0717,42.2918
Ballou Ave,02124,Utility Payments,Latino,English,Female,Yes,Yes,5.0,0,No,2000.0,4/8/2022,Approved,,-71.0717,42.2918
Banton ,02124,Future Stipend; Rental Arrears,Black/African American,English,Female,No,No,1.0,5132,Yes,10950.0,,Approved,,-71.0717,42.2918
Banton Street,02124,Rental Arrears,Black/African American,English,Male,Yes,Yes,2.0,0,No,1008.0,11/19/2021,Approved,,-71.0717,42.2918
Banton Street,02124,Rental Arrears; Utility Payments,Black/African American,English,Female,Yes,Yes,2.0,1400,No,1091.26,9/23/2022,Approved,,-71.0717,42.2918
Banton Street,02124,Rental Arrears; Utility Payments,Black/African American,English,Male,Yes,No,2.0,1479.76,Yes,586.51,6/10/2022,Approved,,-71.0717,42.2918
Banton Street,02124,Rental Arrears,Black/African American,English,Male,Yes,Yes,2.0,1500,Yes,252.0,8/5/2022,Approved,,-71.0717,42.2918
Banton Street,02124,Rental Arrears; Utility Payments,Latino,English,Male,,,1.0,3480,No,16312.26,,Approved,,-71.0717,42.2918
Banton Street,02124,Rental Arrears,Latino,English,Male,,,1.0,3640,,4000.0,,Approved,,-71.0717,42.2918
Barbara St,02130,Rental Arrears,White,English,Male,,,1.0,#ERROR!,,2120.0,,Approved,,-71.1115,42.3126
Barnes Ave,02128,Rental Arrears,Latino,English,Female,,,2.0,0,,4000.0,,Approved,,-71.0257,42.3642
Barnes St,02128,Rental Arrears,Latino,English,Female,,,5.0,1500,,4000.0,,Approved,,-71.0257,42.3642
Barnes Ave,02128,Rental Arrears,Latino,Spanish,Female,,,4.0,0,,1895.0,,Approved,,-71.0257,42.3642
Barnes Avenue,02128,Rental Arrears,Latino,Spanish,Female,No,Yes,4.0,4000,No,3600.0,,Approved,,-71.0257,42.3642
Barrows St,02134,,White,English,Female,No,No,2.0,1600,,0.0,,Approved,,-71.1329,42.3535
Barrows St,02134,Future Stipend; Rental Arrears; Utility Payments,Latino,Spanish,Female,,,3.0,1600,Yes,11825.0,5/7/2021,Approved,,-71.1329,42.3535
Barry st,02125,Moving Costs; Utility Payments,Black/African American,English,Female,Yes,Yes,5.0,255.52,No,11750.0,,Approved,,-71.0745,42.2973
Barry St,02125,Future Stipend; Rental Arrears,Other Race,Cape Verdean Creole,Female,No,Yes,3.0,2600,Yes,11400.0,,Approved,,-71.0745,42.2973
Barry St,02125,Future Stipend; Rental Arrears; Utility Payments,Latino,Portguese,Female,No,No,3.0,3800,Yes,9949.65,,Approved,,-71.0745,42.2973
Barry St,02125,Moving Costs,Latino,Spanish,Male,No,Yes,4.0,2714,Yes,1090.0,5/6/2022,Approved,,-71.0745,42.2973
BARSTOW ST,02134,Future Stipend,White,English,Female,No,Yes,1.0,0,No,1980.0,,Approved,,-71.1329,42.3535
Bartlett St,02119,Rental Arrears,Black/African American,English,Female,No,No,1.0,1560,Yes,5379.0,4/1/2022,Approved,,-71.0953,42.3251
Basto Terrace,02131,Future Stipend,Black/African American,Haitian Creole,Female,No,No,2.0,0,No,1763.62,9/9/2022,Approved,,-71.1295,42.2836
Basto Terrace,02131,Future Stipend; Rental Arrears,Black/African American,Haitian Creole,Female,No,No,2.0,0,No,7659.8,,Approved,,-71.1295,42.2836
Batchelder St,02119,Rental Arrears,Black/African American,Cape Verdean Creole,Female,No,No,5.0,4200,,6000.0,,Approved,,-71.0953,42.3251
"Batchelder St,",02119,Moving Costs,Latino; White,English,Female,,,5.0,600,No,3988.0,,Approved,,-71.0953,42.3251
Bateman St,02131,Rental Arrears,Latino,English,Female,,,3.0,1200,,4000.0,,Approved,,-71.1295,42.2836
Bateman St,02136,Rental Arrears; Utility Payments,Black/African American,English,Female,,,5.0,1450,No,11396.35,4/27/2021,Approved,,-71.1261,42.254
Bateman St,02136,,Black/African American,English,Female,No,Yes,2.0,2268,,6000.0,,Approved,,-71.1261,42.254
Battery St,02109,,White,English,Female,No,No,1.0,200,,0.0,,Approved,,-71.0545,42.36
Baxter St,02127,Rental Arrears,White,,Not reported,,,2.0,0,,2601.0,,Approved,,-71.0375,42.3347
Bayard street,02134,Future Stipend; Rental Arrears,Black/African American,English,Male,No,No,1.0,900,No,5000.0,,Approved,,-71.1329,42.3535
Beach St,02111,Future Stipend; Rental Arrears,Asian,Chinese Cantonese,Male,No,No,3.0,2788.02,Yes,5160.0,,Approved,,-71.0629,42.3503
Beach Street,02111,Future Stipend,Asian,Chinese Cantonese,Female,,,2.0,96,No,4050.0,,Approved,,-71.0629,42.3503
Beach Street,02111,Future Stipend,Asian,Chinese Mandarin,Female,,,4.0,1520,Yes,2312.0,,Approved,,-71.0629,42.3503
Beach Street,02136,Future Stipend,Asian,Chinese Mandarin,Female,,,4.0,1520,Yes,2312.0,,Approved,,-71.1261,42.254
Beach Street,02111,Future Stipend,Asian,Chinese Cantonese,Female,No,No,1.0,2000,Yes,3600.0,12/28/2021,Approved,,-71.0629,42.3503
Beach Street,02111,Future Stipend,Asian,Chinese Cantonese,Male,No,Yes,4.0,2070,Yes,5700.0,12/28/2021,Approved,,-71.0629,42.3503
Beach Street,02111,Future Stipend,Asian,Chinese Cantonese,Male,,,4.0,2300,Yes,3242.0,,Approved,,-71.0629,42.3503
Beach Street,02111,Future Stipend,Asian,Chinese Cantonese,Female,,,1.0,2364,Yes,1169.0,,Approved,,-71.0629,42.3503
Beach Street,02111,Future Stipend; Rental Arrears,Asian,Chinese Cantonese,Female,No,No,4.0,2850,Yes,5680.0,12/7/2021,Approved,,-71.0629,42.3503
beacon street,02136,Future Stipend; Rental Arrears,Black/African American,English,Male,No,No,1.0,0,No,9725.0,,Approved,,-71.1261,42.254
Beacon St,02116,Future Stipend,White,English,Female,No,No,1.0,1800,,2190.0,,Approved,,-71.0768,42.3492
beacon St,02116,Future Stipend; Rental Arrears,Asian;Multi-Racial,English,Male,No,No,1.0,2200,Yes,13140.0,,Approved,,-71.0768,42.3492
Beacon Street,02116,Future Stipend; Rental Arrears,Asian,English,Male,,,1.0,3500,,11000.0,,Approved,,-71.0768,42.3492
Beacon St,02116,Future Stipend; Rental Arrears; Utility Payments,White,English,Female,No,No,1.0,3825,Yes,9828.34,,Approved,,-71.0768,42.3492
Beacon Street,02116,Rental Arrears,White,,Male,,,,20000,,4000.0,,Approved,,-71.0768,42.3492
BEACON STREET,02116,Future Stipend; Rental Arrears; Utility Payments,White;Latino,English,Male,,,1.0,1148.1,No,14605.35,7/9/2021,Approved,,-71.0768,42.3492
Beacon St,02115,,Latino; Multi-Racial,English,Female,No,No,1.0,1571.92,,4000.0,,Approved,,-71.0922,42.3427
Beacon St.,02121,Future Stipend; Rental Arrears; Utility Payments,White,English,Female,No,No,1.0,0,No,16882.82,9/21/2021,Approved,,-71.0745,42.2973
Beacon St,02215,Future Stipend; Rental Arrears,Black/African American,English,,No,No,1.0,2300,Yes,7940.0,,Approved,,-71.1027,42.3471
Beacon St,02215,Rental Arrears,Black/African American,English,Female,,,3.0,2800,Yes,4125.0,,Approved,,-71.1027,42.3471
Beacon St,02215,Future Stipend; Rental Arrears,Black/African American,English,Female,No,No,2.0,4628,Yes,8952.0,,Approved,,-71.1027,42.3471
Beacon Street,02215,Future Stipend; Rental Arrears,Black/African American,English,Male,,,1.0,2976,Yes,12347.0,10/21/2021,Approved,,-71.1027,42.3471
Beacon St,02115,Future Stipend; Rental Arrears,Black/African American,English,Female,,,1.0,1100,Yes,4943.0,,Approved,,-71.0922,42.3427
Beacon St,02215,Future Stipend,Asian; Latino,English,Male,,,2.0,3648,Yes,3954.0,,Approved,,-71.1027,42.3471
Becket St,02124,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,1.0,1486,,6000.0,,Approved,,-71.0717,42.2918
Becket Street,02124,Future Stipend,Black/African American,English,Female,,,1.0,1486,,4125.0,,Approved,,-71.0717,42.2918
Beech St.,02131,Rental Arrears; Utility Payments,Black/African American,English,Female,Yes,Yes,1.0,0,No,5132.0,8/19/2022,Approved,,-71.1295,42.2836
Beechland Circle,02131,Rental Arrears,Black/African American,English,Female,No,No,2.0,2500,,2488.0,,Approved,,-71.1295,42.2836
Belden St,02125,Rental Arrears,Black/African American,English,Male,No,No,2.0,1864,,2200.0,,Approved,,-71.0745,42.2973
Belden St,02125,Rental Arrears,Black/African American,English,Male,,,1.0,1068,No,6000.0,11/12/2021,Approved,,-71.0745,42.2973
belgrade ave,02131,Rental Arrears,White,English,Female,No,No,1.0,1600,No,17000.0,,Approved,,-71.1295,42.2836
Belgrade Ave,02131,Rental Arrears; Utility Payments,Multi-Racial,English,Male,,,1.0,0,,4315.98,,Approved,,-71.1295,42.2836
Belgrade Ave,02131,Rental Arrears,White,English,Female,,,2.0,45000,,1417.0,,Approved,,-71.1295,42.2836
belgrade ave,02131,Future Stipend; Rental Arrears,Latino,English,Female,Yes,Yes,4.0,400,Yes,8226.0,,Approved,,-71.1295,42.2836
Belgrade Ave,02131,Utility Payments,White,Spanish,Male,Yes,Yes,3.0,400,No,2000.0,,Approved,,-71.1295,42.2836
Belgrade Avenue,02131,Future Stipend; Rental Arrears,White,English,Male,,,4.0,4568,,12000.0,,Approved,,-71.1295,42.2836
Belgrade Ave,02132,Rental Arrears,Latino,Spanish,Male,No,Yes,5.0,1900,,4200.0,,Approved,,-71.1589,42.2787
Bellevue St,02132,Future Stipend; Rental Arrears,White,English,Female,,,2.0,896,Yes,5200.0,,Approved,,-71.1589,42.2787
Bellevue Street,02125,Future Stipend; Moving Costs,Black/African American,English,Female,No,Yes,4.0,3471,Yes,12600.0,,Approved,,-71.0745,42.2973
Bellevue Street,02125,Rental Arrears; Utility Payments,Black/African American,English,Female,No,Yes,3.0,400,No,17000.0,,Approved,,-71.0745,42.2973
Bellevue St,02125,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,6.0,1048,,4000.0,,Approved,,-71.0745,42.2973
Bellevue Street,02125,Moving Costs; Rental Arrears; Utility Payments,Black/African American,English,Female,,,6.0,2000,Yes,9520.0,,Approved,,-71.0745,42.2973
Belnap Rd,02136,Rental Arrears,White,English,Female,,,5.0,2400,,3664.0,,Approved,,-71.1261,42.254
belnel rd,02136,Future Stipend; Rental Arrears,Black/African American,English,Male,No,No,1.0,0,No,10200.0,,Approved,,-71.1261,42.254
Belnel Rd,02136,Future Stipend; Rental Arrears,Black/African American,Other,Male,No,Yes,1.0,440,No,5400.0,,Approved,,-71.1261,42.254
Benington st,02128,Future Stipend; Rental Arrears,Latino,Spanish,Male,No,No,3.0,0,Yes,15000.0,,Approved,,-71.0257,42.3642
Benington St,02128,Rental Arrears,Latino,Spanish,Male,No,No,1.0,0,,5500.0,,Approved,,-71.0257,42.3642
Bennington St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,,,1.0,930,,7500.0,,Approved,,-71.0257,42.3642
Bennington St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,Yes,2.0,0,No,8700.0,,Approved,,-71.0257,42.3642
Bennington Street,02128,Rental Arrears,Latino,Spanish,Male,,,4.0,0,,3000.0,,Approved,,-71.0257,42.3642
Bennington St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,No,3.0,350,No,9185.0,6/17/2022,Approved,,-71.0257,42.3642
Bennington St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,No,3.0,1690.95,No,5678.16,,Approved,,-71.0257,42.3642
Bennington Street,02128,Rental Arrears,Latino,Spanish,Female,No,Yes,4.0,600,No,5400.0,,Approved,,-71.0257,42.3642
Bennington ,02114,Future Stipend; Rental Arrears,Multi-Racial,English,Male,No,Yes,3.0,699,No,9500.0,,Approved,,-71.0682,42.3611
Bennington St,02128,Rental Arrears,Latino,Spanish,Female,No,No,1.0,0,,6000.0,,Approved,,-71.0257,42.3642
Bennington st,02128,Rental Arrears; Utility Payments,Latino,Spanish,Female,No,No,2.0,0,No,14198.0,,Approved,,-71.0257,42.3642
Bennington St,02128,Rental Arrears,White,,Female,,,3.0,0,,4000.0,,Approved,,-71.0257,42.3642
Bennington St,02128,Future Stipend; Rental Arrears,White,English,Male,No,No,2.0,3000,,4000.0,,Approved,,-71.0257,42.3642
Bennington St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Male,,,1.0,804,Yes,9500.0,7/5/2021,Approved,,-71.0257,42.3642
Bennington St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,No,3.0,0,,4000.0,,Approved,,-71.0257,42.3642
Bennington St,02128,Rental Arrears,Latino,Spanish,Male,,,2.0,1000,,2700.0,,Approved,,-71.0257,42.3642
Bennington St,02128,,Latino,Spanish,Female,No,No,2.0,1050,,4000.0,,Approved,,-71.0257,42.3642
bennington st,02128,Future Stipend; Rental Arrears,Latino,Spanish,Male,No,No,3.0,345,No,13800.0,,Approved,,-71.0257,42.3642
Bennington st.,02128,Future Stipend,Latino,Spanish,Female,No,Yes,4.0,900,Yes,6300.0,10/8/2021,Approved,,-71.0257,42.3642
Bennington St,02128,Rental Arrears,Latino,Spanish,Female,No,Yes,4.0,0,,6000.0,,Approved,,-71.0257,42.3642
Bennington St,02128,Rental Arrears,Multi-Racial,English,Male,,,1.0,0,,3900.0,,Approved,,-71.0257,42.3642
Bennington St,02128,Future Stipend,Latino,English,Female,No,Yes,4.0,800,,2300.0,,Approved,,-71.0257,42.3642
Bennington St,02128,Future Stipend; Rental Arrears,Latino,English,Male,No,Yes,1.0,1000,Yes,4362.0,9/16/2022,Approved,,-71.0257,42.3642
Bennington St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,No,2.0,0,No,10000.0,,Approved,,-71.0257,42.3642
Bennington Street,02128,Future Stipend; Rental Arrears,White,Spanish,Female,,,2.0,2268,Yes,14400.0,,Approved,,-71.0257,42.3642
Bennington St,02128,Rental Arrears,White,English,Not reported,,,2.0,1700,,3750.0,,Approved,,-71.0257,42.3642
"Bennington Street,",02128,Rental Arrears,Latino,Spanish,Female,,,3.0,12000,,4000.0,,Approved,,-71.0257,42.3642
Bennington st,02127,Future Stipend; Rental Arrears,Latino,English,Male,No,No,2.0,0,No,4600.0,3/4/2022,Approved,,-71.0375,42.3347
Bennington St,02128,Rental Arrears,Latino,Spanish,Female,No,No,2.0,1900,,6000.0,,Approved,,-71.0257,42.3642
Bennington St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,No,4.0,1200,,6000.0,,Approved,,-71.0257,42.3642
Bennington St,02128,Rental Arrears,Latino,Spanish,Female,No,No,1.0,0,,4000.0,,Approved,,-71.0257,42.3642
Bennington St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,No,3.0,600,,6000.0,,Approved,,-71.0257,42.3642
Bennington St,02128,Rental Arrears,White,Spanish,Not reported,,,3.0,10030,,3000.0,,Approved,,-71.0257,42.3642
Bennington St,02128,Rental Arrears,Latino,Spanish,Female,,,3.0,1700,,4000.0,,Approved,,-71.0257,42.3642
Bennington St,02128,Rental Arrears,Black/African American,English,Male,No,Yes,5.0,3592,,6000.0,,Approved,,-71.0257,42.3642
Bennington St.,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,,,3.0,0,No,11506.0,,Approved,,-71.0257,42.3642
Bennington St.,02128,Rental Arrears,Latino,Spanish,Male,,,5.0,2580,Yes,15000.0,,Approved,,-71.0257,42.3642
Bennington St,02128,Future Stipend; Rental Arrears,White,English,Female,,,3.0,692,No,5775.0,,Approved,,-71.0257,42.3642
Bennington St,02128,Rental Arrears,Latino,Spanish,Female,,,2.0,2500,Yes,4785.0,,Approved,,-71.0257,42.3642
Bennington Street,02128,Future Stipend,Indigenous; Multi-Racial; White,,Genderqueer Gender non binary,,,1.0,1000,No,3585.0,,Approved,,-71.0257,42.3642
Bennington Street,02128,Future Stipend; Rental Arrears,Asian,English,Male,,,1.0,3200,No,4950.0,,Approved,,-71.0257,42.3642
Benson St,02135,,Black/African American,English,Female,No,No,3.0,2200,,2956.0,,Approved,,-71.1566,42.3478
Bentham Rd,02122,Rental Arrears,White,English,Not reported,,,4.0,11220,,2154.0,,Approved,,-71.0745,42.2973
Bentham Road,02122,Rental Arrears,Black/African American,English,Male,,,1.0,0,Unemployment application was denied,15000.0,,Approved,,-71.0745,42.2973
Bentham Rd,02122,Future Stipend; Rental Arrears; Utility Payments,Black/African American; Latino,English,Female,,,8.0,5900,All or some members of the household are not eligible,15000.0,,Approved,,-71.0745,42.2973
Bentham Road,02122,Future Stipend; Moving Costs; Rental Arrears,Black/African American,English,Female,Yes,No,1.0,4300,Yes,15962.0,,Approved,,-71.0745,42.2973
Beram Ave,02131,Moving Costs,American Indian or Alaskan Native,English,Female,Yes,Yes,1.0,1281,Yes,923.0,10/15/2021,Approved,,-71.1295,42.2836
Bernard St,02124,Future Stipend; Rental Arrears; Utility Payments,Latino,English,Female,No,No,3.0,3358.82,Yes,5903.49,,Approved,,-71.0717,42.2918
Bernard St,02124,,Black/African American,English,Female,No,Yes,3.0,2024,,6000.0,,Approved,,-71.0717,42.2918
Beverely Str,02114,Rental Arrears,White,,Female,,,1.0,3292,,4000.0,,Approved,,-71.0682,42.3611
Beverly St,02114,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,No,Yes,2.0,589,Yes,3478.7,,Approved,,-71.0682,42.3611
beverly st,02114,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,No,Yes,2.0,932,No,4578.28,10/14/2021,Approved,,-71.0682,42.3611
Beverly St,02114,Rental Arrears,Black/African American,English,Male,No,Yes,1.0,3261,Yes,4555.8,7/15/2022,Approved,,-71.0682,42.3611
BEVERLY ST,02114,Future Stipend,Black/African American;White;Black,English,Male,No,Yes,3.0,4520.07,Yes,8100.0,10/26/2021,Approved,,-71.0682,42.3611
Beverly St,02114,Rental Arrears,White,English,Not reported,,,3.0,3000,,4000.0,,Approved,,-71.0682,42.3611
Beverly St.,02114,Future Stipend; Rental Arrears,Multi-Racial,English,Male,Yes,Yes,1.0,750,No,4543.0,,Approved,,-71.0682,42.3611
Beverly St.,02114,Rental Arrears,White,English,Male,Yes,Yes,1.0,2172,No,925.0,2/18/2022,Approved,,-71.0682,42.3611
Beverly Street,02114,Rental Arrears; Utility Payments,American Indian or Alaskan Native;Black/African American,English,Female,Yes,Yes,3.0,972,Yes,811.16,,Approved,,-71.0682,42.3611
Beverly Street,02114,Future Stipend; Rental Arrears,White,English,Female,,,3.0,3100,All or some members of the household are not eligible,7356.0,,Approved,,-71.0682,42.3611
Beverly Street,02114,Rental Arrears,White,English,Female,,,1.0,3292,No,3065.0,8/3/2021,Approved,,-71.0682,42.3611
Beverly St,02114,Future Stipend; Rental Arrears,White,English,Male,No,No,2.0,0,Yes,7245.0,12/10/2021,Approved,,-71.0682,42.3611
Bicknell St,02121,Future Stipend; Rental Arrears,Latino,English,Female,,,2.0,2312,No,9712.0,,Approved,,-71.0745,42.2973
Bicknell St.,02121,Future Stipend; Rental Arrears,Latino,English,Female,,,1.0,353,No,15000.0,,Approved,,-71.0745,42.2973
Bicknell St,02121,Rental Arrears,White,English,Not reported,,,2.0,392,,918.0,,Approved,,-71.0745,42.2973
Bicknell St,02121,Future Stipend; Rental Arrears,Black/African American; White,English,Female,,,1.0,0,No,15000.0,,Approved,,-71.0745,42.2973
Bicknell St,02121,Future Stipend,Black/African American,English,Female,,,1.0,3800,Yes,3000.0,,Approved,,-71.0745,42.2973
Bicknell Street,02121,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,1.0,1944,No,8000.0,10/22/2021,Approved,,-71.0745,42.2973
Bicknell Street,02121,Utility Payments,Black/African American,English,Female,No,No,3.0,2200,Yes,2000.0,,Approved,,-71.0745,42.2973
Bicknell St,02121,Rental Arrears; Utility Payments,Black/African American,English,Female,No,Yes,3.0,360,No,4388.71,7/8/2022,Approved,,-71.0745,42.2973
Bilodeau Rd,02121,Future Stipend; Rental Arrears,Black/African American,English,Female,No,No,1.0,3000,Yes,12705.0,,Approved,,-71.0745,42.2973
Bird Street,02125,Future Stipend; Rental Arrears,Latino,Spanish,Male,No,Yes,1.0,0,No,5586.95,,Approved,,-71.0745,42.2973
